1,0.75,0.25,0,0.25,
0.75,0.75,0.25,0,0.75,
1,1,0.75,0,0.5,
1,0.25,0.416666667,0,0.75,
0.5,1,0.4166,0,0.5625,
1,1,0.4166,0,0.5625,
0.75,0.75,0.4166,0,0.5625,
1,0.25,0.4166,0,0.5625,
1,0.25,0.4166,0,0.5625,
1,0.666666667,0.4166,0,0.5625,
1,0.6,0.4166,0,0.5625,
0.909090909,0.6,0.4166,0,0.5625,
0.75,0.75,0.08,0.75,0.99,
0.75,0.25,0.08,0.75,0.99,
0.5,0.25,0.08,0.75,0.99,
0.5,0.25,0.08,0.75,0.99,
1,0.333333333,0.08,0.75,0.99,
0.75,1,1,0.125,0.622,
0.75,1,1,0.125,0.622,
0.5,1,1,0.125,0.622,
0.25,1,1,0.125,0.622,
1,0.611111111,0.166,0,0.687,
0.75,0.611,0.166,0,0.687,
0.704545455,0.611,0.166,0,0.687,
0.75,1,0.92,0.5,0.8125,
0.25,1,0.92,0.5,0.812,
0.75,1,0.92,0.5,0.812,
1,1,0.901,0.5,0.812,
